Customer ID,Food Quality,Hygiene,Service,Value for Money,Staff Behavior,Ambience,Cleanliness,Waiting Time,Billing Experience,Product Availability,Ease of Access,Customer Support,Menu Variety,Online Services
1022,Neutral,Neutral,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied
1023,Satisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Satisfied,Highly Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Dissatisfied
1024,Neutral,Neutral,Highly Satisfied,Neutral,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied
1025,Satisfied,Neutral,Highly Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral
1026,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied
1027,Dissatisfied,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Neutral,Highly Satisfied,Satisfied,Neutral,Dissatisfied,Highly Satisfied,Neutral
1028,Highly Satisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Highly Satisfied,Satisfied,Satisfied,Neutral
1029,Highly Satisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Highly Satisfied,Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied
1030,Dissatisfied,Highly Satisfied,Dissatisfied,Neutral,Neutral,Highly Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Satisfied
1031,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Neutral,Dissatisfied,Highly Satisfied,Satisfied,Highly Satisfied,Satisfied,Neutral,Satisfied
1032,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
1033,Dissatisfied,Neutral,Satisfied,Highly Satisfied,Neutral,Satisfied,Highly Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Highly Satisfied
1034,Highly Satisfied,Neutral,Neutral,Neutral,Highly Satisfied,Satisfied,Satisfied,Highly Satisfied,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Highly Satisfied
1035,Dissatisfied,Dissatisfied,Highly Satisfied,Neutral,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied
1036,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied,Neutral,Highly Satisfied
1037,Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Dissatisfied,Highly Satisfied
1038,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Neutral,Satisfied,Highly Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Satisfied
1039,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Neutral,Highly Satisfied
1040,Neutral,Satisfied,Satisfied,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Neutral,Satisfied,Satisfied,Neutral,Highly Satisfied
1041,Neutral,Dissatisfied,Neutral,Neutral,Highly Satisfied,Neutral,Satisfied,Satisfied,Highly Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
1042,Satisfied,Neutral,Satisfied,Neutral,Highly Satisfied,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Neutral,Dissatisfied
1043,Neutral,Dissatisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Neutral,Dissatisfied
1044,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Highly Satisfied,Highly Satisfied
1045,Dissatisfied,Neutral,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Neutral,Satisfied
1046,Dissatisfied,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Neutral
1047,Neutral,Highly Satisfied,Neutral,Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied
1048,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Dissatisfied
1049,Highly Satisfied,Dissatisfied,Neutral,Neutral,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied
1050,Satisfied,Highly Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Neutral
1051,Dissatisfied,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral
1052,Highly Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Highly Satisfied,Neutral,Neutral,Highly Satisfied,Neutral
1053,Dissatisfied,Neutral,Neutral,Highly Satisfied,Dissatisfied,Neutral,Highly Satisfied,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,Highly Satisfied
1054,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Highly Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied
1055,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Highly Satisfied,Neutral,Highly Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied
1056,Highly Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Neutral
1057,Satisfied,Highly Satisfied,Dissatisfied,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Neutral,Satisfied,Neutral,Highly Satisfied,Neutral,Neutral,Dissatisfied
1058,Neutral,Dissatisfied,Highly Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied
1059,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied
1060,Satisfied,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Dissatisfied
1061,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Satisfied,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Neutral
1062,Neutral,Dissatisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Neutral,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied
1063,Dissatisfied,Highly Satisfied,Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Neutral,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied
1064,Highly Satisfied,Highly Satisfied,Dissatisfied,Neutral,Highly Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Dissatisfied
1065,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied
1066,Neutral,Neutral,Neutral,Satisfied,Highly Satisfied,Satisfied,Satisfied,Highly Satisfied,Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Satisfied
1067,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral
1068,Neutral,Satisfied,Neutral,Highly Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Neutral
1069,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Highly Satisfied,Satisfied,Neutral,Dissatisfied
1070,Dissatisfied,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Neutral,Satisfied
1071,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Neutral,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied,Neutral,Highly Satisfied,Satisfied,Neutral
1072,Neutral,Satisfied,Neutral,Highly Satisfied,Neutral,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied
1073,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Satisfied
1074,Neutral,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Dissatisfied
1075,Dissatisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Satisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied
1076,Highly Satisfied,Satisfied,Neutral,Neutral,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral
1077,Neutral,Highly Satisfied,Satisfied,Highly Satisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Satisfied
1078,Highly Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Highly Satisfied
1079,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Highly Satisfied,Highly Satisfied
1080,Highly Satisfied,Dissatisfied,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied
1081,Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Highly Satisfied
1082,Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Neutral,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied
1083,Highly Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Satisfied
1084,Dissatisfied,Satisfied,Neutral,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied,Highly Satisfied
1085,Dissatisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Highly Satisfied,Neutral,Highly Satisfied,Neutral
1086,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Dissatisfied,Satisfied,Dissatisfied,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral
1087,Neutral,Dissatisfied,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Neutral,Satisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied
1088,Satisfied,Satisfied,Highly Satisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Highly Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied
1089,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Highly Satisfied,Satisfied
1090,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied
1091,Highly Satisfied,Neutral,Dissatisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,Highly Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied
1092,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Highly Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Neutral
1093,Satisfied,Neutral,Satisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied
1094,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied,Neutral,Dissatisfied,Highly Satisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,Satisfied,Highly Satisfied,Neutral
1095,Highly Satisfied,Highly Satisfied,Dissatisfied,Neutral,Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Neutral,Satisfied,Dissatisfied,Neutral,Neutral
1096,Neutral,Highly Satisfied,Dissatisfied,Satisfied,Dissatisfied,Highly Satisfied,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Neutral
1097,Neutral,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Highly Satisfied,Neutral,Neutral,Highly Satisfied,Satisfied
1098,Dissatisfied,Highly Satisfied,Neutral,Highly Satisfied,Neutral,Satisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Dissatisfied
1099,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Neutral,Highly Satisfied,Satisfied
1100,Satisfied,Satisfied,Highly Satisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Highly Satisfied,Dissatisfied,Neutral,Dissatisfied
1101,Highly Satisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Satisfied,Satisfied,Highly Satisfied,Satisfied,Satisfied
1102,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied
1103,Neutral,Dissatisfied,Neutral,Dissatisfied,Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied,Neutral,Neutral,Dissatisfied
1104,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Highly Satisfied,Satisfied,Neutral,Dissatisfied,Highly Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied
1105,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Dissatisfied,Neutral,Highly Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied
1106,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly Satisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Neutral,Satisfied,Neutral
1107,Highly Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Neutral
1108,Satisfied,Neutral,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Satisfied,Satisfied,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied,Neutral
1109,Neutral,Dissatisfied,Satisfied,Dissatisfied,Highly Satisfied,Neutral,Neutral,Satisfied,Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Satisfied,Neutral
1110,Satisfied,Highly Satisfied,Highly Satisfied,Satisfied,Neutral,Neutral,Satisfied,Neutral,Dissatisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Neutral
1111,Neutral,Neutral,Neutral,Dissatisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Highly Satisfied
1112,Highly Satisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Highly Satisfied,Satisfied,Satisfied,Highly Satisfied
1113,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Neutral,Dissatisfied,Highly Satisfied,Satisfied,Satisfied,Highly Satisfied
1114,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Highly Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Highly Satisfied,Dissatisfied
1115,Highly Satisfied,Satisfied,Satisfied,Highly Satisfied,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Highly Satisfied,Highly Satisfied,Neutral
1116,Neutral,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Neutral,Highly Satisfied,Neutral,Dissatisfied,Satisfied,Highly Satisfied
1117,Dissatisfied,Satisfied,Dissatisfied,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Satisfied
1118,Dissatisfied,Highly Satisfied,Highly Satisfied,Satisfied,Satisfied,Neutral,Highly Satisfied,Satisfied,Neutral,Neutral,Neutral,Dissatisfied,Highly Satisfied,Dissatisfied
1119,Highly Satisfied,Dissatisfied,Highly Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Dissatisfied,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied
1120,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Neutral,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
1121,Highly Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied
1122,Dissatisfied,Dissatisfied,Highly Satisfied,Neutral,Neutral,Neutral,Neutral,Highly Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Satisfied,Neutral,Satisfied
1123,Dissatisfied,Dissatisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Highly Satisfied,Satisfied
1124,Neutral,Highly Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied
1125,Highly Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Highly Satisfied,Neutral,Satisfied,Satisfied,Neutral,Neutral,Neutral,Highly Satisfied
1126,Highly Satisfied,Satisfied,Neutral,Satisfied,Highly Satisfied,Dissatisfied,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Neutral,Dissatisfied
1127,Neutral,Satisfied,Highly Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Neutral
1128,Highly Satisfied,Highly Satisfied,Neutral,Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied
1129,Highly Satisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,Neutral,Neutral,Highly Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Neutral
1130,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,Highly Satisfied,Highly Satisfied,Satisfied,Neutral,Highly Satisfied,Dissatisfied
1131,Satisfied,Neutral,Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Satisfied,Satisfied,Highly Satisfied
1132,Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied
1133,Neutral,Satisfied,Satisfied,Highly Satisfied,Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral
1134,Highly Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Neutral,Highly Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral
1135,Neutral,Highly Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Highly Satisfied,Neutral,Satisfied,Neutral,Highly Satisfied,Satisfied,Highly Satisfied
1136,Highly Satisfied,Highly Satisfied,Dissatisfied,Satisfied,Highly Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Neutral
